xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,topo_burn_top_msl_m,powerline_kind_in_xy,powerline_line_height_agl_m,powerline_line_base_msl_m,powerline_line_effective_base_msl_m,powerline_line_top_msl_m,powerline_pole_height_agl_m,powerline_pole_base_msl_m,powerline_pole_effective_base_msl_m,powerline_pole_top_msl_m
5694,2675.0,1175.0,20.863107681274414,25.0,line,35.0,53.363107681274414,53.363107681274414,58.363107681274414,0.0,20.863107681274414,25.0,20.863107681274414
5695,2675.0,1225.0,20.39944076538086,25.0,line,35.0,52.89944076538086,52.89944076538086,57.89944076538086,0.0,20.39944076538086,25.0,20.39944076538086
5696,2675.0,1275.0,21.093090057373047,25.0,line,35.0,53.59309005737305,53.59309005737305,58.59309005737305,0.0,21.093090057373047,25.0,21.093090057373047
5800,2725.0,1125.0,21.55033302307129,25.0,line+pole,35.0,54.05033302307129,54.05033302307129,59.05033302307129,35.0,21.55033302307129,25.0,56.55033302307129
5801,2725.0,1175.0,22.747007369995117,25.0,line+pole,35.0,55.24700736999512,55.24700736999512,60.24700736999512,35.0,22.747007369995117,25.0,57.74700736999512
5907,2775.0,1125.0,19.862817764282227,20.0,line,35.0,52.36281776428223,52.36281776428223,57.36281776428223,0.0,19.862817764282227,20.0,19.862817764282227
5908,2775.0,1175.0,21.50714683532715,25.0,line,35.0,54.00714683532715,54.00714683532715,59.00714683532715,0.0,21.50714683532715,25.0,21.50714683532715
6014,2825.0,1125.0,19.56783103942871,20.0,line,35.0,52.06783103942871,52.06783103942871,57.06783103942871,0.0,19.56783103942871,20.0,19.56783103942871
6015,2825.0,1175.0,22.81118392944336,25.0,line,35.0,55.31118392944336,55.31118392944336,60.31118392944336,0.0,22.81118392944336,25.0,22.81118392944336
6121,2875.0,1125.0,19.961992263793945,20.0,line+pole,35.0,52.461992263793945,52.461992263793945,57.461992263793945,35.0,19.961992263793945,20.0,54.961992263793945
6122,2875.0,1175.0,26.856201171875,30.0,line,35.0,59.356201171875,59.356201171875,64.356201171875,0.0,26.856201171875,30.0,26.856201171875
6228,2925.0,1125.0,19.626590728759766,20.0,line,35.0,52.126590728759766,52.126590728759766,57.126590728759766,0.0,19.626590728759766,20.0,19.626590728759766
6229,2925.0,1175.0,21.71573829650879,25.0,line,35.0,54.21573829650879,54.21573829650879,59.21573829650879,0.0,21.71573829650879,25.0,21.71573829650879
6335,2975.0,1125.0,20.416296005249023,25.0,line,35.0,52.91629600524902,52.91629600524902,57.91629600524902,0.0,20.416296005249023,25.0,20.416296005249023
6336,2975.0,1175.0,25.27765655517578,30.0,line,35.0,57.77765655517578,57.77765655517578,62.77765655517578,0.0,25.27765655517578,30.0,25.27765655517578
6442,3025.0,1125.0,20.472124099731445,25.0,line+pole,35.0,52.972124099731445,52.972124099731445,57.972124099731445,35.0,20.472124099731445,25.0,55.472124099731445
6443,3025.0,1175.0,24.054336547851562,25.0,line,35.0,56.55433654785156,56.55433654785156,61.55433654785156,0.0,24.054336547851562,25.0,24.054336547851562
6549,3075.0,1125.0,20.326520919799805,25.0,line+pole,35.0,52.826520919799805,52.826520919799805,57.826520919799805,35.0,20.326520919799805,25.0,55.326520919799805
6550,3075.0,1175.0,23.558364868164062,25.0,line+pole,35.0,56.05836486816406,56.05836486816406,61.05836486816406,35.0,23.558364868164062,25.0,58.55836486816406
6656,3125.0,1125.0,19.854263305664062,20.0,line,35.0,52.35426330566406,52.35426330566406,57.35426330566406,0.0,19.854263305664062,20.0,19.854263305664062
6657,3125.0,1175.0,23.01418113708496,25.0,line,35.0,55.51418113708496,55.51418113708496,60.51418113708496,0.0,23.01418113708496,25.0,23.01418113708496
6763,3175.0,1125.0,19.084630966186523,20.0,line,35.0,51.58463096618652,51.58463096618652,56.58463096618652,0.0,19.084630966186523,20.0,19.084630966186523
6764,3175.0,1175.0,20.99666404724121,25.0,line,35.0,53.49666404724121,53.49666404724121,58.49666404724121,0.0,20.99666404724121,25.0,20.99666404724121
6870,3225.0,1125.0,18.92386245727539,20.0,line+pole,35.0,51.42386245727539,51.42386245727539,56.42386245727539,35.0,18.92386245727539,20.0,53.92386245727539
6871,3225.0,1175.0,17.867145538330078,20.0,line+pole,35.0,50.36714553833008,50.36714553833008,55.36714553833008,35.0,17.867145538330078,20.0,52.86714553833008
6977,3275.0,1125.0,19.355377197265625,20.0,line,35.0,51.855377197265625,51.855377197265625,56.855377197265625,0.0,19.355377197265625,20.0,19.355377197265625
6978,3275.0,1175.0,20.741769790649414,25.0,line,35.0,53.241769790649414,53.241769790649414,58.241769790649414,0.0,20.741769790649414,25.0,20.741769790649414
7084,3325.0,1125.0,18.324678421020508,20.0,line,35.0,50.82467842102051,50.82467842102051,55.82467842102051,0.0,18.324678421020508,20.0,18.324678421020508
7085,3325.0,1175.0,19.978456497192383,20.0,line,35.0,52.47845649719238,52.47845649719238,57.47845649719238,0.0,19.978456497192383,20.0,19.978456497192383
7191,3375.0,1125.0,18.61494255065918,20.0,line+pole,35.0,51.11494255065918,51.11494255065918,56.11494255065918,35.0,18.61494255065918,20.0,53.61494255065918
7192,3375.0,1175.0,21.7689266204834,25.0,line+pole,35.0,54.2689266204834,54.2689266204834,59.2689266204834,35.0,21.7689266204834,25.0,56.7689266204834
7298,3425.0,1125.0,17.51835823059082,20.0,line,35.0,50.01835823059082,50.01835823059082,55.01835823059082,0.0,17.51835823059082,20.0,17.51835823059082
7299,3425.0,1175.0,21.070697784423828,25.0,line,35.0,53.57069778442383,53.57069778442383,58.57069778442383,0.0,21.070697784423828,25.0,21.070697784423828
7405,3475.0,1125.0,16.872962951660156,20.0,line,35.0,49.372962951660156,49.372962951660156,54.372962951660156,0.0,16.872962951660156,20.0,16.872962951660156
7406,3475.0,1175.0,17.679418563842773,20.0,line,35.0,50.17941856384277,50.17941856384277,55.17941856384277,0.0,17.679418563842773,20.0,17.679418563842773
7512,3525.0,1125.0,16.69870376586914,20.0,line,35.0,49.19870376586914,49.19870376586914,54.19870376586914,0.0,16.69870376586914,20.0,16.69870376586914
7513,3525.0,1175.0,18.131940841674805,20.0,line,35.0,50.631940841674805,50.631940841674805,55.631940841674805,0.0,18.131940841674805,20.0,18.131940841674805
7619,3575.0,1125.0,16.857179641723633,20.0,line+pole,35.0,49.35717964172363,49.35717964172363,54.35717964172363,35.0,16.857179641723633,20.0,51.85717964172363
7620,3575.0,1175.0,21.862701416015625,25.0,line+pole,35.0,54.362701416015625,54.362701416015625,59.362701416015625,35.0,21.862701416015625,25.0,56.862701416015625
7726,3625.0,1125.0,16.579402923583984,20.0,line,35.0,49.079402923583984,49.079402923583984,54.079402923583984,0.0,16.579402923583984,20.0,16.579402923583984
7727,3625.0,1175.0,24.04934310913086,25.0,line,35.0,56.54934310913086,56.54934310913086,61.54934310913086,0.0,24.04934310913086,25.0,24.04934310913086
7833,3675.0,1125.0,16.305438995361328,20.0,line,35.0,48.80543899536133,48.80543899536133,53.80543899536133,0.0,16.305438995361328,20.0,16.305438995361328
7834,3675.0,1175.0,16.94424819946289,20.0,line,35.0,49.44424819946289,49.44424819946289,54.44424819946289,0.0,16.94424819946289,20.0,16.94424819946289
7936,3725.0,925.0,22.249073028564453,25.0,line,35.0,54.74907302856445,54.74907302856445,59.74907302856445,0.0,22.249073028564453,25.0,22.249073028564453
7937,3725.0,975.0,20.537370681762695,25.0,line,35.0,53.037370681762695,53.037370681762695,58.037370681762695,0.0,20.537370681762695,25.0,20.537370681762695
7938,3725.0,1025.0,15.9585599899292,20.0,line,35.0,48.4585599899292,48.4585599899292,53.4585599899292,0.0,15.9585599899292,20.0,15.9585599899292
7939,3725.0,1075.0,16.843095779418945,20.0,line,35.0,49.343095779418945,49.343095779418945,54.343095779418945,0.0,16.843095779418945,20.0,16.843095779418945
7940,3725.0,1125.0,16.65553092956543,20.0,line+pole,35.0,49.15553092956543,49.15553092956543,54.15553092956543,35.0,16.65553092956543,20.0,51.65553092956543
