xy_id,ix,iy,iz,x_from_sw_m,y_from_sw_m,z_center_msl_m,z_bottom_msl_m,z_top_msl_m,terrain_msl_m,powerline_kind_in_xy,powerline_height_reference_used,topo_burn_top_msl_m,powerline_line_height_agl_m,powerline_line_base_msl_m,powerline_line_effective_base_msl_m,powerline_line_top_msl_m,powerline_pole_height_agl_m,powerline_pole_base_msl_m,powerline_pole_effective_base_msl_m,powerline_pole_top_msl_m,z_plot_bottom_msl_m,z_plot_top_msl_m,powerline_plot_kind,powerline_plot_height_agl_m,gx,gy,gz,burn_display_class,_use_true_xy_cell_size,plot_burn_powerline,plot_burn_building,plot_burn_topo,plot_burn_any,z_plot_bottom_agl_m,z_plot_top_agl_m
5163,48,27,11,2425.0,1375.0,57.5,55.0,60.0,20.795482635498047,line+pole,AGL,25.0,35.0,53.29548263549805,53.29548263549805,58.29548263549805,35.0,20.795482635498047,25.0,55.79548263549805,55.0,58.29548263549805,line-air strand/cable,35.0,48,27,11,powerline,True,True,False,False,True,34.20451736450195,37.5
5164,48,28,10,2425.0,1425.0,52.5,50.0,55.0,19.46244239807129,line+pole,AGL,20.0,35.0,51.96244239807129,51.96244239807129,56.96244239807129,35.0,19.46244239807129,20.0,54.46244239807129,51.96244239807129,55.0,line-air strand/cable,35.0,48,28,10,powerline,True,True,False,False,True,32.5,35.53755760192871
5164,48,28,11,2425.0,1425.0,57.5,55.0,60.0,19.46244239807129,line+pole,AGL,20.0,35.0,51.96244239807129,51.96244239807129,56.96244239807129,35.0,19.46244239807129,20.0,54.46244239807129,55.0,56.96244239807129,line-air strand/cable,35.0,48,28,11,powerline,True,True,False,False,True,35.53755760192871,37.5
5269,49,26,10,2475.0,1325.0,52.5,50.0,55.0,21.295013427734375,line,AGL,25.0,35.0,53.795013427734375,53.795013427734375,58.795013427734375,0.0,21.295013427734375,25.0,21.295013427734375,53.795013427734375,55.0,line-air strand/cable,35.0,49,26,10,powerline,True,True,False,False,True,32.5,33.704986572265625
5269,49,26,11,2475.0,1325.0,57.5,55.0,60.0,21.295013427734375,line,AGL,25.0,35.0,53.795013427734375,53.795013427734375,58.795013427734375,0.0,21.295013427734375,25.0,21.295013427734375,55.0,58.795013427734375,line-air strand/cable,35.0,49,26,11,powerline,True,True,False,False,True,33.704986572265625,37.5
5270,49,27,10,2475.0,1375.0,52.5,50.0,55.0,22.461488723754883,line,AGL,25.0,35.0,54.96148872375488,54.96148872375488,59.96148872375488,0.0,22.461488723754883,25.0,22.461488723754883,54.96148872375488,55.0,line-air strand/cable,35.0,49,27,10,powerline,True,True,False,False,True,32.5,32.53851127624512
5270,49,27,11,2475.0,1375.0,57.5,55.0,60.0,22.461488723754883,line,AGL,25.0,35.0,54.96148872375488,54.96148872375488,59.96148872375488,0.0,22.461488723754883,25.0,22.461488723754883,55.0,59.96148872375488,line-air strand/cable,35.0,49,27,11,powerline,True,True,False,False,True,32.53851127624512,37.5
5375,50,25,10,2525.0,1275.0,52.5,50.0,55.0,20.803762435913086,line,AGL,25.0,35.0,53.303762435913086,53.303762435913086,58.303762435913086,0.0,20.803762435913086,25.0,20.803762435913086,53.303762435913086,55.0,line-air strand/cable,35.0,50,25,10,powerline,True,True,False,False,True,32.5,34.196237564086914
5375,50,25,11,2525.0,1275.0,57.5,55.0,60.0,20.803762435913086,line,AGL,25.0,35.0,53.303762435913086,53.303762435913086,58.303762435913086,0.0,20.803762435913086,25.0,20.803762435913086,55.0,58.303762435913086,line-air strand/cable,35.0,50,25,11,powerline,True,True,False,False,True,34.196237564086914,37.5
5376,50,26,11,2525.0,1325.0,57.5,55.0,60.0,22.749027252197266,line,AGL,25.0,35.0,55.249027252197266,55.249027252197266,60.249027252197266,0.0,22.749027252197266,25.0,22.749027252197266,55.249027252197266,60.0,line-air strand/cable,35.0,50,26,11,powerline,True,True,False,False,True,32.5,37.250972747802734
