xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,powerline_z_top_msl_m,powerline_z_top_agl_m,powerline_z_bottom_msl_m,powerline_voxel_count,powerline_plot_kind,powerline_kind_in_xy,powerline_plot_height_agl_m,powerline_line_height_agl_m,powerline_pole_height_agl_m,powerline_line_top_msl_m,powerline_pole_top_msl_m,building_z_top_msl_m,building_z_top_agl_m,building_z_bottom_msl_m,building_voxel_count,building_height_agl_m,powerline_minus_building_top_msl_m,powerline_minus_building_top_agl_m
11425,5325.0,4175.0,8.974035263061523,46.47403526306152,37.5,10.0,9,pole/tower column,line+pole,35.0,35.0,35.0,46.47403526306152,43.97403526306152,13.355356216430664,4.381320953369141,8.974035263061523,2,4.381320953369141,33.11867904663086,33.11867904663086
10159,4725.0,5075.0,13.179118156433105,50.679118156433105,37.5,45.679118156433105,2,line-air strand/cable,line,35.0,35.0,0.0,50.679118156433105,13.179118156433105,17.54822540283203,4.369107246398926,13.179118156433105,2,4.369107246398926,33.130892753601074,33.130892753601074
4527,2125.0,1675.0,27.32736587524414,64.82736587524414,37.5,59.82736587524414,2,line-air strand/cable,line,35.0,35.0,0.0,64.82736587524414,27.32736587524414,31.682579517364502,4.355213642120361,27.32736587524414,2,4.355213642120361,33.14478635787964,33.14478635787964
11399,5325.0,2875.0,16.18824577331543,53.68824577331543,37.5,48.68824577331543,2,line-air strand/cable,line,35.0,35.0,0.0,53.68824577331543,16.18824577331543,20.52400493621826,4.335759162902832,16.18824577331543,2,4.335759162902832,33.16424083709717,33.16424083709717
4737,2225.0,1475.0,25.54109001159668,63.04109001159668,37.5,58.04109001159668,2,line-air strand/cable,line,35.0,35.0,0.0,63.04109001159668,25.54109001159668,29.80289077758789,4.261800765991211,25.54109001159668,1,4.261800765991211,33.23819923400879,33.23819923400879
10056,4675.0,5275.0,13.51596450805664,51.01596450805664,37.5,15.0,9,pole/tower column,line+pole,35.0,35.0,35.0,51.01596450805664,48.51596450805664,17.75162696838379,4.235662460327148,13.51596450805664,2,4.235662460327148,33.26433753967285,33.26433753967285
10053,4675.0,5125.0,13.025235176086426,50.525235176086426,37.5,45.525235176086426,2,line-air strand/cable,line,35.0,35.0,0.0,50.525235176086426,13.025235176086426,17.118587017059326,4.0933518409729,13.025235176086426,2,4.0933518409729,33.4066481590271,33.4066481590271
11324,5275.0,4475.0,12.531360626220703,50.0313606262207,37.5,45.0313606262207,2,line-air strand/cable,line,35.0,35.0,0.0,50.0313606262207,12.531360626220703,16.534477710723877,4.003117084503174,12.531360626220703,2,4.003117084503174,33.496882915496826,33.496882915496826
11323,5275.0,4425.0,11.137040138244629,48.63704013824463,37.5,43.63704013824463,2,line-air strand/cable,line,35.0,35.0,0.0,48.63704013824463,11.137040138244629,15.140157222747803,4.003117084503174,11.137040138244629,2,4.003117084503174,33.496882915496826,33.496882915496826
11296,5275.0,3075.0,12.842452049255371,50.34245204925537,37.5,45.34245204925537,2,line-air strand/cable,line,35.0,35.0,0.0,50.34245204925537,12.842452049255371,16.75571870803833,3.913266658782959,12.842452049255371,2,3.913266658782959,33.58673334121704,33.58673334121704
