route_key,direction,dk_name,db_name,edge_seq,from_node_id,to_node_id,from_name,to_name,from_role,to_role,x1,y1,x2,y2,edge_distance_m,edge_cost,nofly_clearance_m,nearest_flz_distance_m,route_hit_density,is_outer_zone_edge
DB01_to_DK03_backward,backward,DK03,DB01,3,6194,9357,TN008,TN020,TN_major,TN_minor,1650.0,3050.0,3250.0,4600.0,2227.6669409945466,0.7718305620386803,304.138126514911,196.77962857527214,113.43478260869566,0
DB01_to_DK03_backward,backward,DK03,DB01,4,9357,9253,TN020,DK03,TN_minor,DK,3250.0,4600.0,3100.0,4550.0,158.11388300841898,0.6568165719583419,424.26406871192853,930.0537618869137,88.8,0
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,0,9253,8337,DK03,TN028,DK,TN_minor,3100.0,4550.0,2750.0,4100.0,570.087712549569,7.405905597873669,447.5628447492039,412.31056256176606,84.38461538461539,0
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,1,8337,9302,TN028,TN002,TN_minor,TN_major,2750.0,4100.0,500.0,4600.0,2304.886114323222,1.590983808604466,179.00813186017209,185.88732306538478,137.52083333333334,1
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,2,9302,8337,TN002,TN028,TN_major,TN_minor,500.0,4600.0,2750.0,4100.0,2304.886114323222,1.590983808604466,179.00813186017209,185.88732306538478,137.52083333333334,1
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,3,8337,6912,TN028,TN016,TN_minor,TN_minor,2750.0,4100.0,2200.0,3400.0,890.2246907382428,3.6972466676429194,570.087712549569,253.57018654836585,96.78947368421052,0
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,4,6912,7321,TN016,TN010,TN_minor,TN_major,2200.0,3400.0,2450.0,3600.0,320.1562118716424,0.7500000000000001,636.3961030678928,412.31056256176606,134.5,0
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,5,7321,7413,TN010,TN003,TN_major,TN_major,2450.0,3600.0,2000.0,3650.0,452.76925690687085,7.222140894749753,320.1562118716424,386.58763560155415,147.54545454545453,0
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,6,7413,4888,TN003,TN024,TN_major,TN_minor,2000.0,3650.0,2000.0,2400.0,1250.0,11.014121117015026,300.0,494.9747468305833,116.57692307692308,0
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,7,4888,2956,TN024,DB01,TN_minor,DB,2000.0,2400.0,1350.0,1450.0,1151.0864433221338,18.90380349348165,100.0,901.3878188659974,99.44,0
DK03_to_DB02_forward,forward,DK03,DB02,0,9253,9357,DK03,TN020,DK,TN_minor,3100.0,4550.0,3250.0,4600.0,158.11388300841898,0.6568165719583419,424.26406871192853,930.0537618869137,88.8,0
DK03_to_DB02_forward,forward,DK03,DB02,1,9357,6194,TN020,TN008,TN_minor,TN_major,3250.0,4600.0,1650.0,3050.0,2227.6669409945466,0.7718305620386803,304.138126514911,196.77962857527214,113.43478260869566,0
DK03_to_DB02_forward,forward,DK03,DB02,2,6194,6219,TN008,TN026,TN_major,TN_minor,1650.0,3050.0,2900.0,3050.0,1250.0,1.017075290043947,250.0,700.0,77.23076923076923,0
DK03_to_DB02_forward,forward,DK03,DB02,3,6219,4710,TN026,TN027,TN_minor,TN_minor,2900.0,3050.0,3200.0,2300.0,807.7747210701756,0.863900609726256,241.40950004671052,260.42286613151356,72.94444444444444,0
DK03_to_DB02_forward,forward,DK03,DB02,4,4710,3114,TN027,TN007,TN_minor,TN_major,3200.0,2300.0,4200.0,1500.0,1280.6248474865697,0.990567838387147,179.82568811632257,227.21623827295298,79.55555555555556,0
DK03_to_DB02_forward,forward,DK03,DB02,5,3114,3209,TN007,TN021,TN_major,TN_minor,4200.0,1500.0,3900.0,1550.0,304.138126514911,0.6649863588228364,287.93777672494804,269.2582403567252,94.0,0
