edge_id,u,v,u_name,v_name,u_role,v_role,x1,y1,x2,y2,distance_m,nofly_clearance_m,route_hit_density,nearest_flz_distance_m,emergency_support,is_tn_edge,is_flz_edge,u_is_outer_zone,v_is_outer_zone,is_outer_zone_edge,edge_cost,aco_initial_desirability,edge_cost_distance_component,edge_cost_density_component,edge_cost_clearance_risk_component,edge_cost_outer_zone_component
188,3114,4710,TN007,TN027,TN_major,TN_minor,4200.0,1500.0,3200.0,2300.0,1280.6248474865697,179.82568811632257,79.55555555555556,227.21623827295298,0.9604688149736522,1,0,False,False,0,0.990567838387147,1.009521974414403,0.5578493685227955,0.5157526554561151,0.7002905198061291,0.0
189,3114,4314,TN007,TN030,TN_major,TN_minor,4200.0,1500.0,3600.0,2100.0,848.5281374238571,141.48251142124346,80.33333333333333,282.8732950245786,0.93940036538276,1,0,False,False,0,1.015430113890228,0.9848043566177948,0.3696249425151707,0.5207949300206303,0.7641958142979276,0.0
190,6194,7321,TN008,TN010,TN_major,TN_major,1650.0,3050.0,2450.0,3600.0,970.8243919473799,304.138126514911,128.0952380952381,412.31056256176606,0.8756292572035382,1,0,False,False,0,0.6347228477162841,1.575490788771782,0.4228980681245547,0.8304317497068734,0.4931031224751483,0.0
191,6194,6805,TN008,TN015,TN_major,TN_minor,1650.0,3050.0,1900.0,3350.0,390.51248379533274,304.138126514911,119.33333333333333,790.5694150420949,0.6136802511983585,1,0,False,False,0,0.7309017266473894,1.3681729889830077,0.1701100387932145,0.7736289831841727,0.4931031224751483,0.0
192,6194,6912,TN008,TN016,TN_major,TN_minor,1650.0,3050.0,2200.0,3400.0,651.9202405202649,304.138126514911,121.73333333333333,618.4658438426491,0.7416868759123438,1,0,False,False,0,0.6875866783898787,1.454362091979006,0.28398113250357865,0.7891880018403907,0.4931031224751483,0.0
193,6194,8325,TN008,TN018,TN_major,TN_minor,1650.0,3050.0,2150.0,4100.0,1162.9703349613008,230.15883706209874,136.6,223.60679774997897,0.9616906016054253,1,0,False,False,0,0.7083481645890146,1.4117351466283568,0.5065982190195708,0.8855674785164077,0.6164019382298354,0.0
194,6194,9357,TN008,TN020,TN_major,TN_minor,1650.0,3050.0,3250.0,4600.0,2227.6669409945466,304.138126514911,113.43478260869566,196.77962857527214,0.9702012681103533,1,0,False,False,0,0.7718305620386803,1.2956211494899124,0.9703876968746291,0.7353891245303037,0.4931031224751483,0.0
195,6194,4888,TN008,TN024,TN_major,TN_minor,1650.0,3050.0,2000.0,2400.0,738.24115301167,189.7952112731571,95.3125,901.3878188659974,0.530059706503893,1,0,False,False,0,1.079014423718183,0.9267716705343877,0.32158314109973535,0.6179037356961575,0.6836746478780715,0.0
196,6194,6219,TN008,TN026,TN_major,TN_minor,1650.0,3050.0,2900.0,3050.0,1250.0,250.0,77.23076923076923,700.0,0.6819407511903481,1,0,False,False,0,1.017075290043947,0.983211380503395,0.5445089653086771,0.5006812413731689,0.5833333333333333,0.0
197,6194,8337,TN008,TN028,TN_major,TN_minor,1650.0,3050.0,2750.0,4100.0,1520.690632574555,304.138126514911,118.78125,204.4064527328687,0.967884820497844,1,0,False,False,0,0.6786674261462136,1.473475757748476,0.6624237463182148,0.7700498686495393,0.4931031224751483,0.0
198,2836,5571,TN009,TN022,TN_major,TN_minor,400.0,1400.0,800.0,2750.0,1408.0127840328723,250.0,70.36666666666666,1991.2307751739877,0.04515491028971929,1,0,False,False,0,1.3749258151381734,0.7273119676638735,0.6133404673401033,0.4561817831010582,0.5833333333333333,0.0
199,2836,2127,TN009,TN023,TN_major,TN_minor,400.0,1400.0,300.0,1050.0,364.0054944640259,350.0,103.0,2674.4158240632664,0.003742914754369733,1,0,False,False,0,1.009491163321463,0.9905980719135423,0.1585634041258241,0.6677412173293558,0.41666666666666663,0.0
200,2836,3446,TN009,TN025,TN_major,TN_minor,400.0,1400.0,600.0,1700.0,360.5551275463989,291.547594742265,89.77777777777777,2390.083680543424,0.011528989090473545,1,0,False,False,0,1.1455023842372973,0.872979413889063,0.1570603995496222,0.5820225497325991,0.514087342096225,0.0
201,2836,3440,TN009,TN029,TN_major,TN_minor,400.0,1400.0,300.0,1700.0,316.22776601683796,350.0,84.875,2672.201950696489,0.003777687700316237,1,0,False,False,0,1.0630221992904973,0.9407141268239169,0.1377510829405623,0.5502382118527095,0.41666666666666663,0.0
202,7321,3709,TN010,TN011,TN_major,TN_major,2450.0,3600.0,3650.0,1800.0,2163.3307652783938,222.16998926999887,69.04444444444445,150.0,0.9825754689579004,1,0,False,False,0,1.0391403028899966,0.9623339574250543,0.9423623972977334,0.4476099163413827,0.629716684550002,0.0
203,7321,8825,TN010,TN014,TN_major,TN_minor,2450.0,3600.0,1900.0,4350.0,930.0537618869137,298.43776060161775,117.2,156.21917978585046,0.9811146432317418,1,0,False,False,0,0.6223572725039437,1.606794110361526,0.40513808925318884,0.7597987443786457,0.5026037323306372,0.0
204,7321,6805,TN010,TN015,TN_major,TN_minor,2450.0,3600.0,1900.0,3350.0,604.1522986797286,492.44289008980525,147.57142857142858,412.31056256176606,0.8756292572035382,1,0,False,False,0,0.21781899104993324,4.5909679187282535,0.26317307443436627,0.956694420944833,0.17926184985032456,0.0
205,7321,6912,TN010,TN016,TN_major,TN_minor,2450.0,3600.0,2200.0,3400.0,320.1562118716424,636.3961030678928,134.5,412.31056256176606,0.8756292572035382,1,0,False,False,0,0.05,20.0,0.13946234213069889,0.871953337192217,0.0,0.0
206,7321,8325,TN010,TN018,TN_major,TN_minor,2450.0,3600.0,2150.0,4100.0,583.09518948453,380.7886552931954,102.84615384615384,120.18504251546648,0.9887787114210276,1,0,False,False,0,0.49001678662394815,2.0407464137905675,0.25400044664215077,0.6667438443385726,0.3653522411780077,0.0
207,7321,2962,TN010,TN019,TN_major,TN_minor,2450.0,3600.0,1650.0,1450.0,2294.0139493908923,190.77557852371652,90.70212765957447,412.31056256176606,0.8756292572035382,1,0,False,False,0,1.0889664978349607,0.9183018963284543,0.9992889295892053,0.5880150401724941,0.6820407024604724,0.0
208,7321,9357,TN010,TN020,TN_major,TN_minor,2450.0,3600.0,3250.0,4600.0,1280.6248474865697,406.1655009982797,83.70370370370371,327.98470162042827,0.9193924939080926,1,0,False,False,0,0.6204269119446251,1.6117933970105618,0.5578493685227955,0.5426447864668623,0.32305749833620045,0.0
209,7321,4888,TN010,TN024,TN_major,TN_minor,2450.0,3600.0,2000.0,2400.0,1281.6005617976298,193.19985360230638,83.74074074074075,412.31056256176606,0.8756292572035382,1,0,False,False,0,0.9972374788385501,1.002770173825263,0.5582743966747573,0.5428848947794583,0.6780002439961561,0.0
210,7321,6219,TN010,TN026,TN_major,TN_minor,2450.0,3600.0,2900.0,3050.0,710.6335201775947,335.4101966249685,63.0,412.31056256176606,0.8756292572035382,1,0,False,False,0,0.7652712333827381,1.3067262381988245,0.309557058228452,0.4084242397257225,0.44098300562505255,0.0
211,7321,4710,TN010,TN027,TN_major,TN_minor,2450.0,3600.0,3200.0,2300.0,1500.8331019803634,165.56433936165746,66.625,234.86994652231783,0.957818677876884,1,0,False,False,0,1.0815568026055404,0.9245931398063747,0.6537736635682719,0.43192484082105176,0.7240594343972375,0.0
212,7321,8337,TN010,TN028,TN_major,TN_minor,2450.0,3600.0,2750.0,4100.0,583.09518948453,570.087712549569,70.6923076923077,291.547594742265,0.9357506383666208,1,0,False,False,0,0.3052578719273737,3.2759187951029087,0.25400044664215077,0.45829288926488276,0.04985381241738496,0.0
213,7321,4314,TN010,TN030,TN_major,TN_minor,2450.0,3600.0,3600.0,2100.0,1890.10581714358,279.3226125533993,66.33333333333333,404.03307851196513,0.8802640306643267,1,0,False,False,0,0.9740749273777138,1.026615070251401,0.8233436502534098,0.43003398785935854,0.5344623124110011,0.0
214,3709,3209,TN011,TN021,TN_major,TN_minor,3650.0,1800.0,3900.0,1550.0,353.5533905932738,300.0,78.33333333333333,107.52906583803284,0.9910074736815861,1,0,False,False,0,0.6780100324328491,1.4749044293810523,0.15401039271465444,0.5078290811404486,0.5,0.0
