node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,model_index,x_original,y_original,x_m,y_m,candidate_eligible,route_hit_count,route_hit_fraction,is_objective,objective_label,objective_prefix,candidate_id,candidate_type,candidate_route_hit_count,original_model_index,shifted_from_model_index,candidate_shifted,candidate_shift_distance_m,original_nofly_clearance_m,nofly_clearance_m,shift_reason,is_candidate
75,3750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,75,3750.0,0.0,3750.0,0.0,True,9,0.02054794520547945,False,,,,,,,,False,,,,,False
76,3800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,76,3800.0,0.0,3800.0,0.0,True,9,0.02054794520547945,False,,,,,,,,False,,,,,False
77,3850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,77,3850.0,0.0,3850.0,0.0,True,9,0.02054794520547945,False,,,,,,,,False,,,,,False
78,3900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,78,3900.0,0.0,3900.0,0.0,True,7,0.01598173515981735,False,,,,,,,,False,,,,,False
79,3950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,79,3950.0,0.0,3950.0,0.0,True,6,0.0136986301369863,False,,,,,,,,False,,,,,False
80,4000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,80,4000.0,0.0,4000.0,0.0,True,3,0.00684931506849315,False,,,,,,,,False,,,,,False
81,4050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,81,4050.0,0.0,4050.0,0.0,True,3,0.00684931506849315,False,,,,,,,,False,,,,,False
82,4100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,82,4100.0,0.0,4100.0,0.0,True,3,0.00684931506849315,False,,,,,,,,False,,,,,False
83,4150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,83,4150.0,0.0,4150.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
84,4200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,84,4200.0,0.0,4200.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
