route_file,route_name,route_key,source_kind,status,reason,n_raw_points,n_dense_points,hit_nodes
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00016,edge_table,processed,"edge-table route_key=forward_backup_01__part_00016; edges=28; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1793.5 m",29,48,451
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00017,edge_table,processed,"edge-table route_key=forward_backup_01__part_00017; edges=15; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=936.4 m",16,25,305
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00018,edge_table,processed,"edge-table route_key=forward_backup_01__part_00018; edges=58; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3086.4 m",59,68,793
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00019,edge_table,processed,"edge-table route_key=forward_backup_01__part_00019; edges=57; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3181.4 m",58,74,628
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00020,edge_table,processed,"edge-table route_key=forward_backup_01__part_00020; edges=10; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=665.7 m",11,19,192
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00021,edge_table,processed,"edge-table route_key=forward_backup_01__part_00021; edges=29; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1657.1 m",30,40,426
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00022,edge_table,processed,"edge-table route_key=forward_backup_01__part_00022; edges=71; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4689.1 m",72,127,1144
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00023,edge_table,processed,"edge-table route_key=forward_backup_01__part_00023; edges=48; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=2462.1 m",49,52,702
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00024,edge_table,processed,"edge-table route_key=forward_backup_01__part_00024; edges=29; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1553.6 m",30,35,469
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00025,edge_table,processed,"edge-table route_key=forward_backup_01__part_00025; edges=69; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4195.6 m",70,106,917
