route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB01_to_DK05_forward_backup_04,DB01_to_DK05,forward_backup_04,forward,backup,4,5116.295090390226,88,1,0,0:0.375
DB01_to_DK05_forward_main_01,DB01_to_DK05,forward_main_01,forward,main,1,3679.8989873223336,63,1,0,0:0.349
DB01_to_DK05_forward_main_02,DB01_to_DK05,forward_main_02,forward,main,2,3979.898987322333,69,1,0,0:0.580
DB01_to_DK05_forward_main_03,DB01_to_DK05,forward_main_03,forward,main,3,3526.34559672906,62,1,0,0:0.726
DB01_to_DK05_forward_main_04,DB01_to_DK05,forward_main_04,forward,main,4,5416.2950903902265,94,1,0,0:0.234
DB01_to_DK06_backward_backup_01,DB01_to_DK06,backward_backup_01,backward,backup,1,3339.9494936611673,62,1,0,0:0.403
DB01_to_DK06_backward_backup_02,DB01_to_DK06,backward_backup_02,backward,backup,2,3381.3708498984765,62,1,0,0:0.855
DB01_to_DK06_backward_backup_03,DB01_to_DK06,backward_backup_03,backward,backup,3,3781.370849898476,70,1,0,0:0.200
DB01_to_DK06_backward_backup_04,DB01_to_DK06,backward_backup_04,backward,backup,4,4217.766952966368,75,1,0,0:0.280
DB01_to_DK06_backward_main_01,DB01_to_DK06,backward_main_01,backward,main,1,3239.949493661167,60,1,0,0:0.533
DB01_to_DK06_backward_main_02,DB01_to_DK06,backward_main_02,backward,main,2,3381.3708498984765,62,1,0,0:0.855
DB01_to_DK06_backward_main_03,DB01_to_DK06,backward_main_03,backward,main,3,3510.660171779821,65,1,0,0:0.431
DB01_to_DK06_backward_main_04,DB01_to_DK06,backward_main_04,backward,main,4,3964.2135623730956,72,1,0,0:0.333
DB01_to_DK06_forward_backup_01,DB01_to_DK06,forward_backup_01,forward,backup,1,3464.2135623730956,62,1,0,0:0.742
DB01_to_DK06_forward_backup_02,DB01_to_DK06,forward_backup_02,forward,backup,2,3522.792206135786,64,1,0,0:0.547
DB01_to_DK06_forward_backup_03,DB01_to_DK06,forward_backup_03,forward,backup,3,4588.477631085024,82,1,0,0:0.915
DB01_to_DK06_forward_backup_04,DB01_to_DK06,forward_backup_04,forward,backup,4,3905.634918610405,70,1,0,0:0.300
DB01_to_DK06_forward_main_01,DB01_to_DK06,forward_main_01,forward,main,1,3222.792206135786,58,1,0,0:0.552
DB01_to_DK06_forward_main_02,DB01_to_DK06,forward_main_02,forward,main,2,3564.2135623730956,64,1,0,0:0.250
DB01_to_DK06_forward_main_03,DB01_to_DK06,forward_main_03,forward,main,3,4488.477631085024,80,1,0,0:0.787
DB01_to_DK06_forward_main_04,DB01_to_DK06,forward_main_04,forward,main,4,4076.3455967290593,73,1,0,0:0.164
DB02_to_DK01_backward_backup_01,DB02_to_DK01,backward_backup_01,backward,backup,1,3169.8484809835,47,2,0;2,0:0.043;2:0.149
DB02_to_DK01_backward_backup_02,DB02_to_DK01,backward_backup_02,backward,backup,2,4752.691193458119,77,2,0;2,0:0.039;2:0.026
DB02_to_DK01_backward_backup_03,DB02_to_DK01,backward_backup_03,backward,backup,3,3228.42712474619,49,2,0;2,0:0.102;2:0.163
DB02_to_DK01_backward_backup_04,DB02_to_DK01,backward_backup_04,backward,backup,4,3257.7164466275353,50,2,0;2,0:0.160;2:0.180
DB02_to_DK01_backward_main_01,DB02_to_DK01,backward_main_01,backward,main,1,3199.137802864845,48,2,0;2,0:0.062;2:0.042
DB02_to_DK01_backward_main_02,DB02_to_DK01,backward_main_02,backward,main,2,4669.8484809835,77,2,0;2,0:0.039;2:0.013
DB02_to_DK01_backward_main_03,DB02_to_DK01,backward_main_03,backward,main,3,3169.8484809835004,47,2,0;2,0:0.149;2:0.170
