edge_key,x1,y1,x2,y2,edge_distance_m,edge_hit_count,edge_visit_count,pair_hit_count,direction_hit_count,route_ids,pairs,directions
8946|8947,2925.0,4400.0,2925.0,4400.0,50.0,2,2,2,1,DK02_to_DK03_forward_main_01;DK03_to_DK05_forward_main_04,DK02_to_DK03;DK03_to_DK05,forward
8954|9055,3300.0,4425.0,3300.0,4425.0,50.0,2,2,2,1,DB02_to_DK03_forward_backup_02;DK03_to_DK06_forward_main_04,DB02_to_DK03;DK03_to_DK06,forward
8993|9095,225.0,4475.0,225.0,4475.0,70.71067811865476,2,2,2,2,DK02_to_DK03_backward_backup_03;DK02_to_DK05_forward_main_04,DK02_to_DK03;DK02_to_DK05,backward;forward
8999|9099,475.0,4475.0,475.0,4475.0,70.71067811865476,2,2,2,1,DK01_to_DK05_forward_main_03;DK05_to_DK06_forward_main_03,DK01_to_DK05;DK05_to_DK06,forward
9003|9104,700.0,4475.0,700.0,4475.0,50.0,2,2,2,1,DK01_to_DK05_forward_main_04;DK05_to_DK06_forward_main_04,DK01_to_DK05;DK05_to_DK06,forward
9012|9112,1150.0,4450.0,1100.0,4500.0,70.71067811865476,2,2,2,1,DK01_to_DK05_forward_backup_02;DK04_to_DK05_forward_backup_03,DK01_to_DK05;DK04_to_DK05,forward
9016|9116,1350.0,4450.0,1300.0,4500.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_main_03;DK01_to_DK02_forward_main_03,DB01_to_DK02;DK01_to_DK02,forward
9017|9117,1400.0,4450.0,1350.0,4500.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_backup_03;DK01_to_DK02_forward_backup_03,DB01_to_DK02;DK01_to_DK02,forward
9017|9119,1425.0,4475.0,1425.0,4475.0,70.71067811865476,2,2,2,1,DK01_to_DK06_backward_main_04;DK03_to_DK06_backward_main_01,DK01_to_DK06;DK03_to_DK06,backward
9018|9118,1425.0,4475.0,1425.0,4475.0,70.71067811865476,2,2,2,1,DB01_to_DK02_backward_main_04;DK05_to_DK06_backward_backup_01,DB01_to_DK02;DK05_to_DK06,backward
9022|9124,1700.0,4500.0,1650.0,4450.0,70.71067811865476,2,2,2,1,DK02_to_DK06_forward_main_03;DK05_to_DK06_forward_main_02,DK02_to_DK06;DK05_to_DK06,forward
9023|9125,1725.0,4475.0,1725.0,4475.0,70.71067811865476,2,2,2,2,DK01_to_DK06_backward_main_03;DK03_to_DK06_forward_backup_02,DK01_to_DK06;DK03_to_DK06,backward;forward
9024|9125,1750.0,4450.0,1750.0,4500.0,50.0,2,2,2,1,DK02_to_DK06_backward_backup_02;DK05_to_DK06_backward_backup_03,DK02_to_DK06;DK05_to_DK06,backward
9024|9126,1775.0,4475.0,1775.0,4475.0,70.71067811865476,2,2,2,2,DK01_to_DK06_backward_backup_03;DK02_to_DK06_forward_backup_04,DK01_to_DK06;DK02_to_DK06,backward;forward
9026|9126,1825.0,4475.0,1825.0,4475.0,70.71067811865476,2,2,2,1,DK01_to_DK06_backward_backup_03;DK02_to_DK06_backward_main_03,DK01_to_DK06;DK02_to_DK06,backward
9027|9128,1900.0,4475.0,1900.0,4475.0,50.0,2,2,2,2,DK02_to_DK06_backward_backup_03;DK05_to_DK06_forward_backup_03,DK02_to_DK06;DK05_to_DK06,backward;forward
9033|9133,2150.0,4500.0,2200.0,4450.0,70.71067811865476,2,2,2,1,DB02_to_DK05_backward_backup_01;DK01_to_DK06_backward_main_04,DB02_to_DK05;DK01_to_DK06,backward
9036|9138,2375.0,4475.0,2375.0,4475.0,70.71067811865476,2,2,1,2,DK03_to_DK06_backward_backup_02;DK03_to_DK06_forward_backup_01,DK03_to_DK06,backward;forward
9043|9145,2700.0,4450.0,2750.0,4500.0,70.71067811865476,2,2,2,1,DB01_to_DK03_forward_main_04;DK01_to_DK03_forward_main_03,DB01_to_DK03;DK01_to_DK03,forward
9057|9158,3400.0,4450.0,3400.0,4500.0,50.0,2,2,2,2,DK01_to_DK03_forward_backup_04;DK03_to_DK06_backward_backup_01,DK01_to_DK03;DK03_to_DK06,backward;forward
9058|9159,3450.0,4450.0,3450.0,4500.0,50.0,2,2,2,2,DK01_to_DK03_forward_main_04;DK03_to_DK06_backward_main_01,DK01_to_DK03;DK03_to_DK06,backward;forward
9095|9197,275.0,4525.0,275.0,4525.0,70.71067811865476,2,2,2,2,DK02_to_DK03_backward_backup_03;DK02_to_DK05_forward_main_04,DK02_to_DK03;DK02_to_DK05,backward;forward
9099|9200,450.0,4525.0,450.0,4525.0,50.0,2,2,2,1,DK01_to_DK05_forward_main_03;DK05_to_DK06_forward_main_03,DK01_to_DK05;DK05_to_DK06,forward
9103|9205,700.0,4550.0,650.0,4500.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_backup_04;DB02_to_DK02_forward_backup_03,DB01_to_DK02;DB02_to_DK02,forward
9112|9212,1100.0,4500.0,1050.0,4550.0,70.71067811865476,2,2,2,1,DK01_to_DK05_forward_backup_02;DK04_to_DK05_forward_backup_03,DK01_to_DK05;DK04_to_DK05,forward
9116|9216,1300.0,4500.0,1250.0,4550.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_main_03;DK01_to_DK02_forward_main_03,DB01_to_DK02;DK01_to_DK02,forward
9117|9217,1350.0,4500.0,1300.0,4550.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_backup_03;DK01_to_DK02_forward_backup_03,DB01_to_DK02;DK01_to_DK02,forward
9122|9222,1575.0,4525.0,1575.0,4525.0,70.71067811865476,2,2,2,2,DK01_to_DK02_forward_main_04;DK01_to_DK05_backward_backup_04,DK01_to_DK02;DK01_to_DK05,backward;forward
9122|9224,1650.0,4550.0,1600.0,4500.0,70.71067811865476,2,2,2,1,DK01_to_DK06_forward_backup_04;DK03_to_DK06_forward_main_02,DK01_to_DK06;DK03_to_DK06,forward
9125|9225,1750.0,4500.0,1700.0,4550.0,70.71067811865476,2,2,2,1,DK02_to_DK06_backward_backup_02;DK05_to_DK06_backward_backup_03,DK02_to_DK06;DK05_to_DK06,backward
9125|9227,1775.0,4525.0,1775.0,4525.0,70.71067811865476,2,2,2,2,DK01_to_DK06_backward_main_03;DK03_to_DK06_forward_backup_02,DK01_to_DK06;DK03_to_DK06,backward;forward
9127|9128,1900.0,4500.0,1850.0,4500.0,50.0,2,2,2,2,DB02_to_DK02_forward_main_03;DK02_to_DK03_backward_main_01,DB02_to_DK02;DK02_to_DK03,backward;forward
9127|9227,1800.0,4550.0,1850.0,4500.0,70.71067811865476,2,2,2,2,DK01_to_DK06_backward_main_03;DK02_to_DK06_forward_main_04,DK01_to_DK06;DK02_to_DK06,backward;forward
9133|9233,2100.0,4550.0,2150.0,4500.0,70.71067811865476,2,2,2,1,DB02_to_DK05_backward_backup_01;DK01_to_DK06_backward_main_04,DB02_to_DK05;DK01_to_DK06,backward
9145|9247,2750.0,4500.0,2800.0,4550.0,70.71067811865476,2,2,2,1,DB01_to_DK03_forward_main_04;DK01_to_DK03_forward_main_03,DB01_to_DK03;DK01_to_DK03,forward
9146|9248,2800.0,4500.0,2850.0,4550.0,70.71067811865476,2,2,2,1,DB01_to_DK03_forward_backup_04;DK01_to_DK03_forward_backup_03,DB01_to_DK03;DK01_to_DK03,forward
9156|9256,3275.0,4525.0,3275.0,4525.0,70.71067811865476,2,2,2,1,DB01_to_DK03_forward_main_03;DK03_to_DK06_forward_main_04,DB01_to_DK03;DK03_to_DK06,forward
9158|9258,3400.0,4500.0,3350.0,4550.0,70.71067811865476,2,2,2,2,DK01_to_DK03_forward_backup_04;DK03_to_DK06_backward_backup_01,DK01_to_DK03;DK03_to_DK06,backward;forward
9197|9299,325.0,4575.0,325.0,4575.0,70.71067811865476,2,2,2,2,DK02_to_DK03_backward_backup_03;DK02_to_DK05_forward_main_04,DK02_to_DK03;DK02_to_DK05,backward;forward
9200|9301,450.0,4575.0,450.0,4575.0,50.0,2,2,2,1,DK01_to_DK05_forward_main_03;DK05_to_DK06_forward_main_03,DK01_to_DK05;DK05_to_DK06,forward
9202|9203,575.0,4550.0,575.0,4550.0,50.0,2,2,2,1,DK01_to_DK05_forward_backup_03;DK05_to_DK06_forward_backup_03,DK01_to_DK05;DK05_to_DK06,forward
9202|9302,525.0,4575.0,525.0,4575.0,70.71067811865476,2,2,2,1,DK01_to_DK05_forward_backup_03;DK05_to_DK06_forward_backup_03,DK01_to_DK05;DK05_to_DK06,forward
9209|9309,850.0,4600.0,900.0,4550.0,70.71067811865476,2,2,1,1,DB01_to_DK02_backward_backup_03;DB01_to_DK02_backward_main_03,DB01_to_DK02,backward
9212|9312,1050.0,4550.0,1000.0,4600.0,70.71067811865476,2,2,2,1,DK01_to_DK05_forward_backup_02;DK04_to_DK05_forward_backup_03,DK01_to_DK05;DK04_to_DK05,forward
9216|9316,1250.0,4550.0,1200.0,4600.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_main_03;DK01_to_DK02_forward_main_03,DB01_to_DK02;DK01_to_DK02,forward
9217|9317,1300.0,4550.0,1250.0,4600.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_backup_03;DK01_to_DK02_forward_backup_03,DB01_to_DK02;DK01_to_DK02,forward
9219|9319,1350.0,4600.0,1400.0,4550.0,70.71067811865476,2,2,2,1,DB01_to_DK02_backward_backup_04;DK01_to_DK05_backward_backup_02,DB01_to_DK02;DK01_to_DK05,backward
9222|9322,1525.0,4575.0,1525.0,4575.0,70.71067811865476,2,2,2,2,DK01_to_DK02_forward_main_04;DK01_to_DK05_backward_backup_04,DK01_to_DK02;DK01_to_DK05,backward;forward
9225|9325,1700.0,4550.0,1650.0,4600.0,70.71067811865476,2,2,2,1,DK02_to_DK06_backward_backup_02;DK05_to_DK06_backward_backup_03,DK02_to_DK06;DK05_to_DK06,backward
9230|9330,1925.0,4575.0,1925.0,4575.0,70.71067811865476,2,2,2,1,DK01_to_DK06_forward_backup_04;DK05_to_DK06_forward_main_03,DK01_to_DK06;DK05_to_DK06,forward
9233|9333,2050.0,4600.0,2100.0,4550.0,70.71067811865476,2,2,2,1,DB02_to_DK05_backward_backup_01;DK01_to_DK06_backward_main_04,DB02_to_DK05;DK01_to_DK06,backward
9245|9347,2725.0,4575.0,2725.0,4575.0,70.71067811865476,2,2,2,2,DB02_to_DK03_forward_backup_04;DK01_to_DK03_backward_backup_03,DB02_to_DK03;DK01_to_DK03,backward;forward
9246|9348,2800.0,4600.0,2750.0,4550.0,70.71067811865476,2,2,1,1,DK03_to_DK04_forward_backup_03;DK03_to_DK04_forward_main_03,DK03_to_DK04,forward
9247|9349,2800.0,4550.0,2850.0,4600.0,70.71067811865476,2,2,2,1,DB01_to_DK03_forward_main_04;DK01_to_DK03_forward_main_03,DB01_to_DK03;DK01_to_DK03,forward
9252|9352,3000.0,4600.0,3050.0,4550.0,70.71067811865476,2,2,2,1,DB01_to_DK03_forward_backup_04;DK01_to_DK03_forward_backup_03,DB01_to_DK03;DK01_to_DK03,forward
9253|9355,3150.0,4600.0,3100.0,4550.0,70.71067811865476,2,2,2,2,DK01_to_DK03_forward_main_04;DK03_to_DK06_backward_main_01,DK01_to_DK03;DK03_to_DK06,backward;forward
9299|9401,375.0,4625.0,375.0,4625.0,70.71067811865476,2,2,2,2,DK02_to_DK03_backward_backup_03;DK02_to_DK05_forward_main_04,DK02_to_DK03;DK02_to_DK05,backward;forward
9301|9402,450.0,4625.0,450.0,4625.0,50.0,2,2,2,1,DK01_to_DK05_forward_main_03;DK05_to_DK06_forward_main_03,DK01_to_DK05;DK05_to_DK06,forward
9302|9403,500.0,4625.0,500.0,4625.0,50.0,2,2,2,1,DK01_to_DK05_forward_backup_03;DK05_to_DK06_forward_backup_03,DK01_to_DK05;DK05_to_DK06,forward
9304|9404,575.0,4625.0,575.0,4625.0,70.71067811865476,2,2,2,2,DK01_to_DK05_backward_main_04;DK02_to_DK05_forward_main_02,DK01_to_DK05;DK02_to_DK05,backward;forward
9304|9406,600.0,4600.0,650.0,4650.0,70.71067811865476,2,2,1,1,DB02_to_DK02_backward_backup_04;DB02_to_DK02_backward_main_04,DB02_to_DK02,backward
9308|9410,825.0,4625.0,825.0,4625.0,70.71067811865476,2,2,2,1,DB01_to_DK05_backward_backup_04;DK05_to_DK06_backward_backup_04,DB01_to_DK05;DK05_to_DK06,backward
9312|9412,1000.0,4600.0,950.0,4650.0,70.71067811865476,2,2,2,1,DK01_to_DK05_forward_backup_02;DK04_to_DK05_forward_backup_03,DK01_to_DK05;DK04_to_DK05,forward
9316|9416,1200.0,4600.0,1150.0,4650.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_main_03;DK01_to_DK02_forward_main_03,DB01_to_DK02;DK01_to_DK02,forward
9317|9417,1250.0,4600.0,1200.0,4650.0,70.71067811865476,2,2,2,1,DB01_to_DK02_forward_backup_03;DK01_to_DK02_forward_backup_03,DB01_to_DK02;DK01_to_DK02,forward
9319|9419,1300.0,4650.0,1350.0,4600.0,70.71067811865476,2,2,2,1,DB01_to_DK02_backward_backup_04;DK01_to_DK05_backward_backup_02,DB01_to_DK02;DK01_to_DK05,backward
9320|9420,1350.0,4650.0,1400.0,4600.0,70.71067811865476,2,2,2,1,DK01_to_DK02_backward_main_04;DK01_to_DK05_backward_main_02,DK01_to_DK02;DK01_to_DK05,backward
9325|9425,1650.0,4600.0,1600.0,4650.0,70.71067811865476,2,2,2,1,DK02_to_DK06_backward_backup_02;DK05_to_DK06_backward_backup_03,DK02_to_DK06;DK05_to_DK06,backward
