version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v4,DB02_to_DK02,forward_main_04,DB02,DK02,forward,main,4,False,"Path found. [Theta* base path from project A*] [safe fallback attempted] Overlap with locked routes = 83/83 nodes (100.00%), exceeds limit 10.00%.",5331.980515339465,5.331980515339464,378.31952443591314,89,4473,1.899061679840088,,False,False,False,True,0.0,,soft_lock,83,83,100.0,0.511814230600175,0.48818576939982505,0.046497738168303625,1.037198190534643,output/thetastar_master_plan/route_nodes/DB02_to_DK02_forward_main_04.csv
v4,DB02_to_DK02,forward_backup_04,DB02,DK02,forward,backup,4,False,Skipped because forward_main_04 failed.,,,,0,-1,,,False,False,False,False,,,,0,0,0.0,,,,,
v4,DB02_to_DK02,backward_main_01,DK02,DB02,backward,main,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],5544.112549695428,5.544112549695428,396.23313148815504,92,1377,0.5829622745513916,,False,False,False,True,0.0,,strict_lock,0,86,0.0,0.5055906566591843,0.4944093433408156,0.04950921349783738,1.03960737079827,output/thetastar_master_plan/route_nodes/DB02_to_DK02_backward_main_01.csv
v4,DB02_to_DK02,backward_backup_01,DK02,DB02,backward,backup,1,True,Backup failed; duplicated main route because ALLOW_BACKUP_DUPLICATE_IF_FAILED=True.,5544.112549695428,5.544112549695428,,92,0,0.0,0.0,True,False,False,False,,,,0,0,0.0,,,,,output/thetastar_master_plan/route_nodes/DB02_to_DK02_backward_backup_01.csv
v4,DB02_to_DK02,backward_main_02,DK02,DB02,backward,main,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],5629.036790187179,5.629036790187179,486.3419014993061,85,1980,0.8504171371459961,,False,False,False,True,0.0,,strict_lock,0,79,0.0,0.6018805598712098,0.39811944012879025,0.373530667011778,1.2988245336094224,output/thetastar_master_plan/route_nodes/DB02_to_DK02_backward_main_02.csv
v4,DB02_to_DK02,backward_backup_02,DK02,DB02,backward,backup,2,True,Backup failed; duplicated main route because ALLOW_BACKUP_DUPLICATE_IF_FAILED=True.,5629.036790187179,5.629036790187179,,85,0,0.0,0.0,True,False,False,False,,,,0,0,0.0,,,,,output/thetastar_master_plan/route_nodes/DB02_to_DK02_backward_backup_02.csv
v4,DB02_to_DK02,backward_main_03,DK02,DB02,backward,main,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],6280.508652763322,6.280508652763322,524.3572437636308,103,1860,0.7658848762512207,,False,False,False,True,0.0,,strict_lock,0,96,0.0,0.6091905636850976,0.3908094363149024,0.36640312857401475,1.293122502859212,output/thetastar_master_plan/route_nodes/DB02_to_DK02_backward_main_03.csv
v4,DB02_to_DK02,backward_backup_03,DK02,DB02,backward,backup,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],6421.93000900063,6.42193000900063,536.7341748242656,105,407,0.16814970970153809,49.83346739993947,False,False,False,True,,150.0,strict_lock,0,98,0.0,0.591079480571956,0.4089205194280439,0.3498194200823462,1.279855536065877,output/thetastar_master_plan/route_nodes/DB02_to_DK02_backward_backup_03.csv
v4,DB02_to_DK02,backward_main_04,DK02,DB02,backward,main,4,True,Path found. [Theta* base path from project A*] [safe fallback attempted],6563.35136523794,6.563351365237939,548.4905104319599,107,1229,0.49837350845336914,,False,False,False,True,0.0,,strict_lock,0,100,0.0,0.5720633934165581,0.42793660658344196,0.3318576859749106,1.2654861487799283,output/thetastar_master_plan/route_nodes/DB02_to_DK02_backward_main_04.csv
v4,DB02_to_DK02,backward_backup_04,DK02,DB02,backward,backup,4,True,Backup failed; duplicated main route because ALLOW_BACKUP_DUPLICATE_IF_FAILED=True.,6563.35136523794,6.563351365237939,,107,0,0.0,0.0,True,False,False,False,,,,0,0,0.0,,,,,output/thetastar_master_plan/route_nodes/DB02_to_DK02_backward_backup_04.csv
v4,DB02_to_DK03,forward_main_01,DB02,DK03,forward,main,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3726.3455967290593,3.7263455967290593,228.20283430561616,66,1362,0.5578463077545166,,False,False,False,True,,,,0,0,0.0,0.7301497973016916,0.26985020269830845,0.028238614859224125,1.0225908918873794,output/thetastar_master_plan/route_nodes/DB02_to_DK03_forward_main_01.csv
